Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Medium,595640,Apache OFBiz XMLRPC 不安全的反序列化漏洞,Apache,"CVE-2020-9496,CVE-2023-4907...","CNNVD-202007-1041,CNNVD-202312-42...",NA,2021-06-11,2023-12-07,
High,13810,Microsoft Windows图元文件堆溢出漏洞,Microsoft,CVE-2005-2124,CNNVD-200511-440,NA,2019-04-28,2023-12-07,
High,15040,Mozilla QueryInterface 内存损坏漏洞,"Mozilla,K-meleon project,Netscape","CVE-2005-4134,CVE-2006-0292...","CNNVD-200512-175,CNNVD-200602-036...",NA,2019-04-28,2023-12-07,
High,15880,Novell ZENworks Patch Management多处SQL注入漏洞,Novell,CVE-2005-3315,CNNVD-200510-263,NA,2019-04-28,2023-12-07,
High,234950,Mini-stream Shadow Stream Recorder缓冲区溢出漏洞,"Chbg,Mini-stream","CVE-2004-1264,CVE-2009-1329...","CNNVD-200501-059,CNNVD-200904-370...",NA,2019-04-28,2023-12-07,
High,1120,CA BrightStor ARCserve备份代理缓冲区溢出漏洞,Ca,CVE-2005-1018,CNNVD-200505-427,NA,2017-06-30,2023-12-07,
High,1080,BrightStor ARCserve Backup缓冲区溢出漏洞,Broadcom,CVE-2005-2535,CNNVD-200508-098,NA,2017-06-30,2023-12-07,
High,4210,Microsoft色彩管理模块缓冲区溢出漏洞,Microsoft,CVE-2005-1219,CNNVD-200507-124,MS05-036,2017-06-30,2023-12-07,
High,7741,Microsoft Office XP Word 长文件名缓冲区溢出,Microsoft,CVE-2004-0848,CNNVD-200502-013,NA,2017-06-30,2023-12-07,
High,9800,NetBackup Java用户接口格式化字符串漏洞,Symantec veritas,CVE-2005-2715,CNNVD-200510-073,NA,2017-06-30,2023-12-07,
High,12220,PHP文件上传全局变量重写漏洞,Php,CVE-2005-3390,CNNVD-200511-006,NA,2017-06-30,2023-12-07,
High,12510,Microsoft IIS畸形URL拒绝服务漏洞,NA,CVE-2005-4360,CNNVD-200512-423,MS07-041,2017-06-30,2023-12-07,
High,16130,VMware Multiple Products NAT Service缓冲区溢出漏洞,Vmware,CVE-2005-4459,CNNVD-200512-496,NA,2017-06-30,2023-12-07,
High,24410,GD图形库PNG缓冲区溢出漏洞,"Gd graphics library,Openpkg","CVE-2004-0941,CVE-2004-0990","CNNVD-200502-023,CNNVD-200503-024",NA,2017-06-30,2023-12-07,
High,24450,Microsoft消息队列服务堆溢出漏洞,Microsoft,CVE-2005-0059,CNNVD-200505-470,NA,2017-06-30,2023-12-07,
High,24490,Ipswitch IMail IMAP LOGIN特殊字符缓冲区溢出漏洞,Ipswitch,CVE-2005-1255,CNNVD-200505-1200,NA,2017-06-30,2023-12-07,
High,24630,MySQL MaxDB Webtool GET命令缓冲区溢出漏洞,Mysql,CVE-2005-0684,CNNVD-200504-094,NA,2017-06-30,2023-12-07,
High,34110,AWStats远程命令执行漏洞,Awstats,CVE-2005-0116,CNNVD-200501-256,NA,2017-06-30,2023-12-07,
High,77890,多个产品远程缓冲区溢出漏洞,"Squid-cache,Bluecoat","CVE-2005-4085,CVE-2013-4115...","CNNVD-200512-996,CNNVD-201307-247...",SQUID-2013:2,2017-06-30,2023-12-07,
